id,pdf_url
82,https://edx.netl.doe.gov/dataset/83b480ac-4573-415a-a268-e7b5a6e6a687/resource/ebd0af1f-1522-4620-8b75-6120dfcfcf79
84,https://edx.netl.doe.gov/dataset/83b480ac-4573-415a-a268-e7b5a6e6a687/resource/03c31656-2bca-491b-8d97-c28b1d4b40af
85,https://edx.netl.doe.gov/dataset/83b480ac-4573-415a-a268-e7b5a6e6a687/resource/e4b98c66-4d23-4596-8274-9e5df4fa0752
86,https://edx.netl.doe.gov/dataset/83b480ac-4573-415a-a268-e7b5a6e6a687/resource/e48f6ef2-e8bc-492c-8ace-b188ea48a06b
87,https://edx.netl.doe.gov/dataset/83b480ac-4573-415a-a268-e7b5a6e6a687/resource/0c7a2ea9-7f14-469f-8e02-b5271decd7c3
88,https://edx.netl.doe.gov/dataset/83b480ac-4573-415a-a268-e7b5a6e6a687/resource/8714037b-f27d-41d4-8972-269cddd84b21
89,https://edx.netl.doe.gov/dataset/83b480ac-4573-415a-a268-e7b5a6e6a687/resource/3c7feb52-7c7a-42b2-83fb-efd06a6289b0
90,https://edx.netl.doe.gov/dataset/83b480ac-4573-415a-a268-e7b5a6e6a687/resource/36d129f8-be22-49f5-8520-e0f86a6421ef
91,https://edx.netl.doe.gov/dataset/83b480ac-4573-415a-a268-e7b5a6e6a687/resource/5e7215d2-cc9b-40a5-849f-e04a644230a2
92,https://edx.netl.doe.gov/dataset/83b480ac-4573-415a-a268-e7b5a6e6a687/resource/0da03d81-3872-461c-8096-421b57b23ef6
93,https://edx.netl.doe.gov/dataset/83b480ac-4573-415a-a268-e7b5a6e6a687/resource/95a9514e-0065-4d25-85a8-2abbf18469d2
94,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/d4dce15d-31db-4542-8889-54d0ea9712d2
95,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/1e5e8c07-ce71-4a1f-8cb9-0ec84018d9c8
96,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/94cc7ab3-f5dd-4d7b-80f1-26574d19ea21
97,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/ee78f0fb-151e-4554-884d-532ef2ad09b8
98,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/11f2dfec-a9a3-43fe-82a6-0ca282e8243c
99,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/ddfe61e6-12cb-45e5-8937-7fac2f5b6250
100,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/7ff46ad6-aca9-4359-88ca-000c404f7f0f
101,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/d0144dc0-e864-4b14-84d6-fb8da8ae27db
102,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/61c4d62d-27f3-4e73-825b-776c5ddef6e4
103,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/fa06e7f5-2203-4fb4-8851-6099da2c6fe8
104,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/626f8656-c3c8-4918-8f20-45deafd53bcf
105,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/1db8eda5-9938-4768-824a-2466731a89d2
106,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/bc366b0a-fa3d-4c08-8d1e-7e06bcc4fba1
107,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/f693a214-2132-4f87-8da2-03f322a4bb5a
108,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/14349544-e42c-4084-8110-6dab7f12490c
109,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/98c89fc2-4e5f-4b7c-8d5b-2ff246ea43ca
110,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/e07c4a4d-0171-4759-81cd-f2e465dc88ce
111,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/0f345169-0b7b-41c9-8c05-87bc5e48dad9
112,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/03ef8497-33ab-44c3-8cda-47ca02ecb51b
113,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/14b5e38f-5a79-4f8c-803e-2d0b0024dfb4
114,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/42815091-d0a8-47a9-8f76-5127cfb54e25
115,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/18fd3a3a-71b1-4d8b-80e8-a9e43c995749
116,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/7b5072c0-21dd-47b3-8176-61bce8427e37
117,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/e397f107-9d5a-48dc-8ee2-4929427cb5dc
118,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/5fde0e4b-e7e1-4e57-82a0-d769c0f55d98
119,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/842e57f5-5ba6-4f3d-81c4-14088a3e3cc6
120,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/ef2ea255-a366-4978-8927-86ddfdc8ff6f
121,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/be3ee712-175f-4707-8958-9839d912bf0a
122,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/6218738c-1938-4ef3-8d1b-1c67b3e2fd65
123,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/03feef5b-6773-445b-8ed7-fa83825433ce
124,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/ff65a3ee-fc1b-4721-8907-3a7197fcf158
125,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/cd38079f-6730-40dc-865d-9165b6282a11
126,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/cd19edf6-4b03-4a55-865e-f00186db875e
127,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/76bb843c-686e-46a1-8229-b5f4c53e88ce
128,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/0287d5de-7b50-42a5-83cd-48b5b02120f4
129,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/36a0f5a7-605e-4dd8-863c-9b4469a6b9d4
130,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/be5a8791-9cfe-4d51-8ff2-10a250f67b82
131,https://edx.netl.doe.gov/dataset/4b1d8f3d-de5c-4701-80cc-07ed76554db0/resource/1e5783a4-4b64-48cc-8a47-3ddeaf9a0286
132,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/2c895d62-b4be-4881-8d5e-fad6ebf08e97
133,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/74a40740-281c-4ec9-8ca4-ec1699497b6a
134,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/91f0a5a7-bce3-4e95-8efb-1a5c9f0c8f92
135,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/3ac45377-d2f6-4397-8385-8077484a2392
136,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/509a3623-1bdb-4158-8bd0-e3e911e9f7e0
137,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/0b9654b9-bef3-4536-83a2-1a4823b8fbe9
138,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/d5abaeb0-2bb2-4141-8ecf-3a8cd53fb42a
139,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/408fcebc-ba3f-4a78-83cb-81260c2e1eaa
140,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/09f94c3f-4b58-4861-8147-c57a705b1c72
141,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/80590362-a6b4-4410-854a-23a9bf256798
142,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/8118334c-e06e-4260-83c4-4439b48b3f7c
143,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/746d69d9-154e-4965-8d7d-398c7e5c3601
144,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/e8957171-430f-4188-8a09-060e13c3e59b
145,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/9b3c6ec6-0562-48be-8582-5f19bf132996
146,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/508315fb-5ac7-4f5c-8d5a-d8924e0da988
147,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/2f1dcf5a-f441-42c7-8c2b-eaaaada094d2
148,https://edx.netl.doe.gov/dataset/608c88be-797c-4524-8f3a-7ddf5b6d7038/resource/f4a384b3-21ea-4a79-8f3e-9b9b37a8d690
